DATETIME,Predicted_AC_POWER
2020-06-18 00:00:00,32.13252642890793
2020-06-18 01:00:00,11.265691046452162
2020-06-18 02:00:00,-54.60941937017289
2020-06-18 03:00:00,-146.13315318411514
2020-06-18 04:00:00,-238.17762050264798
2020-06-18 05:00:00,-306.6844679122855
2020-06-18 06:00:00,-334.8953504772171
2020-06-18 07:00:00,-317.3774219622995
2020-06-18 08:00:00,-260.8985466062937
2020-06-18 09:00:00,-182.07484300500192
2020-06-18 10:00:00,-102.55964715664928
2020-06-18 11:00:00,-43.148035435777146
2020-06-18 12:00:00,-18.388278172131805
2020-06-18 13:00:00,-33.08288629768238
2020-06-18 14:00:00,-81.50219643139818
2020-06-18 15:00:00,-149.3856988904281
2020-06-18 16:00:00,-218.0748085351697
2020-06-18 17:00:00,-269.5957314469008
2020-06-18 18:00:00,-291.3196794014622
2020-06-18 19:00:00,-279.0038983544525
2020-06-18 20:00:00,-237.49715984149105
2020-06-18 21:00:00,-179.0375538981703
2020-06-18 22:00:00,-119.7025487729307
2020-06-18 23:00:00,-75.02687293708715
2020-06-19 00:00:00,-55.97234058770731
2020-06-19 01:00:00,-66.28503938000422
2020-06-19 02:00:00,-101.86337648142984
2020-06-19 03:00:00,-152.20551963408616
2020-06-19 04:00:00,-203.4585391751604
2020-06-19 05:00:00,-242.19626031588635
2020-06-19 06:00:00,-258.9044457635244
2020-06-19 07:00:00,-250.27734700476896
2020-06-19 08:00:00,-219.78300495524695
2020-06-19 09:00:00,-176.4327527733251
2020-06-19 10:00:00,-132.16236402884834
2020-06-19 11:00:00,-98.57525030855167
2020-06-19 12:00:00,-83.9286847034966
2020-06-19 13:00:00,-91.13830749759106
2020-06-19 14:00:00,-117.27309799245148
2020-06-19 15:00:00,-154.60117372587928
2020-06-19 16:00:00,-192.83895204366513
2020-06-19 17:00:00,-221.95867327388598
2020-06-19 18:00:00,-234.79443685798998
2020-06-19 19:00:00,-228.77596480451533
2020-06-19 20:00:00,-206.3792432880356
2020-06-19 21:00:00,-174.23793452127316
2020-06-19 22:00:00,-141.21182383060255
2020-06-19 23:00:00,-115.96667810643497
